0,1
0,2
0,3
0,4
0,5
0,6
0,7
1,2
1,3
1,4
1,5
1,6
2,3
2,4
2,5
2,7
3,4
3,5
3,6
3,7
4,5
4,6
5,6
5,7
6,7
8,9
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
9,19
10,11
10,12
10,13
10,14
10,15
10,16
10,17
10,18
11,12
11,13
11,14
11,15
11,16
11,17
12,13
12,14
12,15
12,16
13,14
13,15
13,16
13,17
14,15
14,16
14,17
15,16
15,17
16,17
18,19
18,20
18,21
18,22
18,23
18,24
18,25
18,26
18,27
18,28
18,29
19,20
19,21
19,22
19,23
19,24
19,25
19,26
19,27
19,28
20,21
20,22
20,23
20,24
20,25
20,26
20,27
21,22
21,23
21,24
21,25
21,26
22,23
22,24
22,25
22,26
23,24
23,25
23,26
24,25
24,26
25,26
27,28
27,29
27,30
27,31
27,32
27,33
27,34
27,35
27,36
27,37
28,29
28,30
28,31
28,32
28,33
28,34
28,35
28,36
29,30
29,31
29,32
29,33
29,34
29,35
30,31
30,32
30,33
30,34
31,32
31,33
31,34
32,33
32,34
33,34
37,38
37,39
37,40
37,41
37,42
37,43
37,44
37,45
37,46
37,47
38,39
38,40
38,41
38,42
38,43
38,44
38,45
38,46
39,40
39,41
39,42
39,43
39,44
39,45
40,41
40,42
40,43
40,44
41,42
41,43
41,44
42,43
42,44
43,44
48,49
48,50
48,51
48,52
48,53
48,54
48,55
48,56
48,57
49,50
49,51
49,52
49,53
49,54
49,55
49,56
50,51
50,52
50,53
50,54
50,55
51,52
51,53
51,54
52,53
52,54
53,54
